order_id,order_date,product,category,unit_price,quantity,discount_pct,revenue,country,channel,status,customer_age,customer_gender
ORD-00049,2024-03-28,Atomic Habits,Books,16.99,4,10,61.16,USA,Organic,Delivered,62,Male
ORD-00050,2024-07-12,Wireless Mouse,Electronics,29.99,3,10,80.97,Canada,Email,Delivered,20,Female
ORD-00051,2024-01-09,Wireless Mouse,Electronics,29.99,3,0,89.97,Germany,Direct,Delivered,40,Other
ORD-00052,2024-02-21,Coffee Maker,Kitchen,89.99,2,0,179.98,Canada,Paid Ads,Shipped,19,Male
ORD-00053,2023-12-07,Bookshelf,Furniture,189.99,2,0,379.98,Canada,Direct,Delivered,42,Male
ORD-00054,2024-04-26,Yoga Mat,Sports,39.99,2,20,63.98,Brazil,Social Media,Delivered,32,Male
ORD-00055,2023-01-25,Blender Pro,Kitchen,74.99,2,5,142.48,Australia,Social Media,Returned,22,Female
ORD-00056,2023-12-26,Air Fryer,Kitchen,129.99,5,5,617.45,Australia,Organic,Delivered,34,Male
ORD-00057,2024-08-17,Dumbbells Set,Sports,79.99,1,0,79.99,Japan,Social Media,Cancelled,38,Female
ORD-00058,2024-09-12,The Lean Startup,Books,19.99,1,5,18.99,Germany,Social Media,Delivered,63,Female
ORD-00059,2023-01-02,The Lean Startup,Books,19.99,5,15,84.96,Germany,Social Media,Shipped,22,Other
ORD-00060,2023-12-05,Coffee Maker,Kitchen,89.99,3,15,229.47,UK,Direct,Delivered,50,Female
ORD-00061,2024-11-13,Bookshelf,Furniture,189.99,3,5,541.47,France,Referral,Delivered,30,Female
ORD-00062,2024-11-11,Standing Desk,Furniture,549.99,2,10,989.98,France,Email,Processing,18,Female
ORD-00063,2023-10-21,Running Shoes,Sports,119.99,4,20,383.97,Australia,Email,Shipped,46,Other
ORD-00064,2023-08-07,The Lean Startup,Books,19.99,4,20,63.97,Canada,Direct,Delivered,36,Other
ORD-00065,2024-11-10,Air Fryer,Kitchen,129.99,5,0,649.95,UK,Paid Ads,Cancelled,37,Male
ORD-00066,2023-07-23,4K Monitor,Electronics,499.99,1,0,499.99,Germany,Email,Processing,22,Female
ORD-00067,2024-02-29,Air Fryer,Kitchen,129.99,5,0,649.95,Japan,Email,Shipped,33,Male
ORD-00068,2024-11-02,Instant Pot,Kitchen,99.99,1,20,79.99,UK,Email,Delivered,29,Other
ORD-00069,2024-06-14,Desk Lamp,Furniture,44.99,1,10,40.49,Germany,Organic,Shipped,26,Female
ORD-00070,2024-11-14,The Lean Startup,Books,19.99,5,10,89.95,Australia,Email,Processing,64,Other
ORD-00071,2024-03-12,Atomic Habits,Books,16.99,4,0,67.96,Brazil,Email,Delivered,33,Other
ORD-00072,2023-10-11,Sunscreen SPF50,Beauty,22.99,5,5,109.2,Germany,Social Media,Shipped,22,Other
ORD-00073,2023-10-20,Yoga Mat,Sports,39.99,3,0,119.97,Australia,Referral,Delivered,26,Male
ORD-00074,2023-08-25,Standing Desk,Furniture,549.99,2,15,934.98,Germany,Organic,Shipped,44,Female
ORD-00075,2024-07-09,Desk Lamp,Furniture,44.99,4,0,179.96,Germany,Email,Shipped,55,Other
ORD-00076,2023-01-21,Sunscreen SPF50,Beauty,22.99,5,5,109.2,Brazil,Organic,Delivered,37,Female
ORD-00077,2024-03-05,Atomic Habits,Books,16.99,5,20,67.96,Germany,Email,Delivered,35,Female
ORD-00078,2024-05-12,Laptop Pro 15,Electronics,1299.99,4,0,5199.96,Japan,Direct,Delivered,47,Male
ORD-00079,2024-09-29,Atomic Habits,Books,16.99,1,5,16.14,USA,Organic,Cancelled,45,Male
ORD-00080,2024-04-17,Webcam HD,Electronics,89.99,1,0,89.99,Japan,Social Media,Delivered,47,Female
ORD-00081,2023-12-12,Sunscreen SPF50,Beauty,22.99,4,0,91.96,Japan,Social Media,Returned,23,Female
ORD-00082,2023-01-20,Skincare Set,Beauty,59.99,5,0,299.95,Australia,Paid Ads,Cancelled,22,Other
ORD-00083,2023-02-11,Sunscreen SPF50,Beauty,22.99,1,0,22.99,Germany,Organic,Processing,27,Male
ORD-00084,2023-05-10,Python Crash Course,Books,34.99,1,10,31.49,Germany,Email,Cancelled,34,Female
ORD-00085,2023-06-21,Coffee Maker,Kitchen,89.99,5,15,382.46,UK,Paid Ads,Delivered,24,Other
ORD-00086,2023-01-27,Water Bottle,Sports,24.99,5,15,106.21,Japan,Email,Cancelled,30,Male
ORD-00087,2024-08-29,Instant Pot,Kitchen,99.99,2,0,199.98,France,Direct,Processing,25,Other
ORD-00088,2023-02-12,Office Chair,Furniture,299.99,5,5,1424.95,Australia,Organic,Processing,59,Female
ORD-00089,2023-01-13,Bookshelf,Furniture,189.99,4,0,759.96,Japan,Social Media,Cancelled,47,Other
ORD-00090,2023-06-06,Bookshelf,Furniture,189.99,2,15,322.98,France,Referral,Returned,52,Female
ORD-00091,2024-04-21,Bookshelf,Furniture,189.99,5,0,949.95,Australia,Paid Ads,Returned,23,Female
ORD-00092,2024-04-06,Yoga Mat,Sports,39.99,4,10,143.96,Japan,Social Media,Delivered,49,Female
ORD-00093,2023-07-06,Python Crash Course,Books,34.99,2,0,69.98,France,Social Media,Delivered,56,Other
ORD-00094,2023-10-10,Atomic Habits,Books,16.99,1,10,15.29,Germany,Organic,Delivered,64,Female
ORD-00095,2024-05-15,Atomic Habits,Books,16.99,2,15,28.88,Brazil,Direct,Cancelled,49,Female
ORD-00096,2023-01-18,USB-C Hub,Electronics,49.99,3,0,149.97,Japan,Direct,Delivered,37,Other
ORD-00097,2024-08-18,Office Chair,Furniture,299.99,4,10,1079.96,Australia,Email,Cancelled,53,Female
ORD-00098,2023-12-27,Instant Pot,Kitchen,99.99,4,0,399.96,France,Social Media,Delivered,25,Other
ORD-00099,2023-07-17,Protein Powder,Sports,54.99,1,15,46.74,Canada,Paid Ads,Delivered,65,Female
ORD-00100,2023-10-11,Skincare Set,Beauty,59.99,5,20,239.96,France,Organic,Returned,30,Female
ORD-00101,2023-08-21,Office Chair,Furniture,299.99,2,0,599.98,USA,Direct,Processing,26,Female
ORD-00102,2023-02-16,Wireless Mouse,Electronics,29.99,5,0,149.95,Canada,Direct,Returned,49,Male
ORD-00103,2023-01-13,Deep Work,Books,18.99,3,5,54.12,Brazil,Email,Delivered,29,Male
ORD-00104,2023-09-16,Python Crash Course,Books,34.99,1,20,27.99,UK,Email,Shipped,22,Other
ORD-00105,2024-10-06,Blender Pro,Kitchen,74.99,1,0,74.99,Canada,Referral,Delivered,23,Male
ORD-00106,2023-05-02,Atomic Habits,Books,16.99,4,10,61.16,Germany,Referral,Shipped,46,Female
ORD-00107,2023-11-01,Deep Work,Books,18.99,4,0,75.96,USA,Referral,Cancelled,24,Male
ORD-00108,2024-10-02,Running Shoes,Sports,119.99,3,15,305.97,UK,Paid Ads,Delivered,29,Other
ORD-00109,2023-03-18,Webcam HD,Electronics,89.99,1,5,85.49,Brazil,Direct,Processing,48,Female
ORD-00110,2023-02-03,Yoga Mat,Sports,39.99,3,15,101.97,France,Direct,Returned,47,Male
ORD-00111,2024-12-04,Yoga Mat,Sports,39.99,3,20,95.98,Germany,Email,Delivered,52,Male
ORD-00112,2024-10-25,4K Monitor,Electronics,499.99,3,20,1199.98,Canada,Organic,Delivered,28,Female
ORD-00113,2024-09-01,Skincare Set,Beauty,59.99,5,0,299.95,Brazil,Organic,Shipped,62,Female
ORD-00114,2024-12-17,Standing Desk,Furniture,549.99,3,10,1484.97,Brazil,Email,Delivered,56,Male
ORD-00115,2024-03-18,Skincare Set,Beauty,59.99,3,10,161.97,France,Organic,Delivered,32,Other
ORD-00116,2024-08-12,Deep Work,Books,18.99,1,20,15.19,France,Referral,Delivered,29,Female
ORD-00117,2024-06-15,Air Fryer,Kitchen,129.99,4,0,519.96,Canada,Referral,Shipped,58,Female
ORD-00118,2023-04-04,Python Crash Course,Books,34.99,3,5,99.72,Australia,Social Media,Cancelled,24,Male
ORD-00119,2023-12-04,Bookshelf,Furniture,189.99,4,0,759.96,Japan,Referral,Delivered,47,Male
ORD-00120,2023-11-19,Dumbbells Set,Sports,79.99,3,0,239.97,Japan,Referral,Returned,18,Other
ORD-00121,2024-07-09,Desk Lamp,Furniture,44.99,4,0,179.96,Germany,Referral,Delivered,57,Female
ORD-00122,2024-10-02,Desk Lamp,Furniture,44.99,1,0,44.99,France,Referral,Delivered,36,Female
ORD-00123,2024-12-16,Python Crash Course,Books,34.99,1,0,34.99,Germany,Direct,Delivered,37,Other
ORD-00124,2023-01-15,Atomic Habits,Books,16.99,4,0,67.96,Germany,Organic,Shipped,25,Other
ORD-00125,2023-06-07,Python Crash Course,Books,34.99,3,10,94.47,France,Email,Returned,48,Female
ORD-00126,2023-09-07,Desk Lamp,Furniture,44.99,5,0,224.95,Japan,Paid Ads,Processing,50,Other
ORD-00127,2023-05-20,USB-C Hub,Electronics,49.99,3,20,119.98,Japan,Social Media,Returned,50,Female
ORD-00128,2023-01-03,Water Bottle,Sports,24.99,3,20,59.98,Brazil,Paid Ads,Shipped,52,Female
ORD-00129,2023-12-20,Protein Powder,Sports,54.99,5,20,219.96,Japan,Email,Delivered,30,Other
ORD-00130,2023-09-02,Deep Work,Books,18.99,4,0,75.96,Japan,Organic,Delivered,65,Female
ORD-00131,2024-12-23,Standing Desk,Furniture,549.99,4,15,1869.97,Canada,Email,Delivered,26,Other
ORD-00132,2024-08-27,Protein Powder,Sports,54.99,1,20,43.99,Brazil,Organic,Processing,47,Male
ORD-00133,2023-05-28,Bookshelf,Furniture,189.99,2,0,379.98,Brazil,Social Media,Delivered,57,Other
ORD-00134,2024-02-12,Air Fryer,Kitchen,129.99,1,20,103.99,Australia,Direct,Returned,52,Female
ORD-00135,2023-11-21,Air Fryer,Kitchen,129.99,4,20,415.97,USA,Referral,Delivered,33,Other
ORD-00136,2024-12-01,Water Bottle,Sports,24.99,2,15,42.48,UK,Email,Delivered,58,Other
ORD-00137,2023-04-13,Desk Lamp,Furniture,44.99,2,15,76.48,France,Organic,Delivered,38,Male
ORD-00138,2023-10-28,Office Chair,Furniture,299.99,3,5,854.97,Canada,Paid Ads,Processing,44,Other
ORD-00139,2024-11-29,Webcam HD,Electronics,89.99,2,0,179.98,UK,Referral,Returned,42,Other
ORD-00140,2024-11-30,Yoga Mat,Sports,39.99,4,10,143.96,Canada,Paid Ads,Shipped,58,Female
ORD-00141,2024-04-15,Dumbbells Set,Sports,79.99,1,20,63.99,Brazil,Social Media,Cancelled,52,Male
ORD-00142,2023-03-17,Desk Lamp,Furniture,44.99,3,10,121.47,France,Direct,Shipped,62,Female
ORD-00143,2024-04-12,Water Bottle,Sports,24.99,2,5,47.48,Brazil,Organic,Delivered,42,Other
ORD-00144,2024-01-03,Deep Work,Books,18.99,3,15,48.42,France,Organic,Returned,60,Female
ORD-00145,2023-10-09,Laptop Pro 15,Electronics,1299.99,5,20,5199.96,USA,Referral,Cancelled,49,Female
ORD-00146,2023-08-24,Coffee Maker,Kitchen,89.99,3,0,269.97,Germany,Referral,Delivered,61,Other
ORD-00147,2024-11-06,Blender Pro,Kitchen,74.99,2,15,127.48,UK,Direct,Cancelled,20,Female
ORD-00148,2024-03-27,Wireless Mouse,Electronics,29.99,5,0,149.95,Canada,Organic,Delivered,38,Other
ORD-00149,2024-03-01,Webcam HD,Electronics,89.99,2,0,179.98,Australia,Referral,Processing,35,Male
ORD-00150,2023-09-21,Python Crash Course,Books,34.99,3,15,89.22,Australia,Organic,Shipped,22,Male
ORD-00151,2023-08-20,Blender Pro,Kitchen,74.99,4,20,239.97,Australia,Organic,Returned,43,Male
ORD-00152,2023-09-28,Atomic Habits,Books,16.99,1,5,16.14,Australia,Direct,Cancelled,61,Female
ORD-00153,2024-08-21,Standing Desk,Furniture,549.99,3,0,1649.97,Germany,Email,Delivered,57,Other
ORD-00154,2023-12-02,Coffee Maker,Kitchen,89.99,2,15,152.98,UK,Direct,Returned,47,Other
ORD-00155,2023-11-06,Air Fryer,Kitchen,129.99,4,0,519.96,Canada,Organic,Delivered,37,Female
ORD-00156,2023-04-29,Mechanical Keyboard,Electronics,149.99,2,10,269.98,Canada,Email,Shipped,41,Other
ORD-00157,2024-12-14,Atomic Habits,Books,16.99,4,10,61.16,Canada,Email,Cancelled,24,Female
ORD-00158,2024-09-22,Bookshelf,Furniture,189.99,3,0,569.97,Australia,Paid Ads,Shipped,46,Male
ORD-00159,2024-01-07,Mechanical Keyboard,Electronics,149.99,3,10,404.97,Australia,Organic,Shipped,35,Male
ORD-00160,2023-05-06,Desk Lamp,Furniture,44.99,1,15,38.24,Germany,Direct,Cancelled,56,Male
ORD-00161,2023-02-21,Protein Powder,Sports,54.99,2,0,109.98,Germany,Organic,Returned,53,Male
ORD-00162,2024-08-23,Running Shoes,Sports,119.99,2,0,239.98,Canada,Referral,Delivered,35,Male
ORD-00163,2023-05-14,Atomic Habits,Books,16.99,3,20,40.78,Canada,Organic,Cancelled,19,Male
ORD-00164,2023-01-16,Office Chair,Furniture,299.99,2,10,539.98,Australia,Organic,Delivered,34,Male
ORD-00165,2023-05-10,Skincare Set,Beauty,59.99,4,10,215.96,UK,Direct,Delivered,48,Female
ORD-00166,2024-01-06,The Lean Startup,Books,19.99,5,0,99.95,Brazil,Referral,Delivered,57,Male
ORD-00167,2024-11-05,The Lean Startup,Books,19.99,3,5,56.97,USA,Organic,Shipped,43,Female
ORD-00168,2024-12-03,Mechanical Keyboard,Electronics,149.99,4,15,509.97,Brazil,Organic,Delivered,38,Other
ORD-00169,2023-06-01,USB-C Hub,Electronics,49.99,2,0,99.98,Australia,Email,Processing,51,Female
ORD-00170,2024-04-09,The Lean Startup,Books,19.99,5,5,94.95,UK,Direct,Delivered,59,Other
ORD-00171,2024-07-18,Skincare Set,Beauty,59.99,2,5,113.98,Brazil,Paid Ads,Shipped,39,Female
ORD-00172,2024-02-13,Bookshelf,Furniture,189.99,1,0,189.99,Japan,Social Media,Cancelled,34,Female
ORD-00173,2023-06-06,Blender Pro,Kitchen,74.99,4,0,299.96,UK,Organic,Delivered,45,Male
ORD-00174,2024-01-17,4K Monitor,Electronics,499.99,5,0,2499.95,Australia,Direct,Delivered,44,Female
ORD-00175,2024-11-12,Sunscreen SPF50,Beauty,22.99,4,20,73.57,USA,Social Media,Processing,37,Female
ORD-00176,2023-04-17,Deep Work,Books,18.99,5,0,94.95,Canada,Direct,Shipped,32,Male
ORD-00177,2023-12-25,Atomic Habits,Books,16.99,3,0,50.97,France,Referral,Delivered,45,Other
ORD-00178,2024-09-28,Coffee Maker,Kitchen,89.99,5,0,449.95,France,Organic,Delivered,35,Other
ORD-00179,2023-11-13,Protein Powder,Sports,54.99,3,0,164.97,Canada,Paid Ads,Processing,60,Female
ORD-00180,2023-03-13,4K Monitor,Electronics,499.99,1,0,499.99,Germany,Email,Shipped,47,Female
ORD-00181,2023-06-11,Office Chair,Furniture,299.99,3,15,764.97,Australia,Referral,Processing,23,Male
ORD-00182,2023-06-09,Webcam HD,Electronics,89.99,5,0,449.95,UK,Social Media,Shipped,60,Female
ORD-00183,2024-05-12,Coffee Maker,Kitchen,89.99,4,5,341.96,France,Paid Ads,Returned,50,Male
ORD-00184,2023-12-20,Bookshelf,Furniture,189.99,1,0,189.99,Brazil,Referral,Cancelled,37,Male
ORD-00185,2023-08-14,Standing Desk,Furniture,549.99,5,0,2749.95,USA,Paid Ads,Delivered,31,Male
ORD-00186,2023-09-19,Water Bottle,Sports,24.99,3,0,74.97,USA,Email,Cancelled,45,Male
ORD-00187,2023-05-13,Standing Desk,Furniture,549.99,5,15,2337.46,Germany,Referral,Processing,60,Female
ORD-00188,2023-03-15,Standing Desk,Furniture,549.99,1,5,522.49,USA,Email,Delivered,38,Other
ORD-00189,2024-03-15,Deep Work,Books,18.99,4,15,64.57,Japan,Social Media,Delivered,43,Male
ORD-00190,2023-11-29,Webcam HD,Electronics,89.99,5,5,427.45,Australia,Organic,Shipped,24,Male
ORD-00191,2024-03-22,Deep Work,Books,18.99,4,10,68.36,UK,Email,Returned,37,Other
ORD-00192,2023-12-14,Yoga Mat,Sports,39.99,3,20,95.98,Canada,Organic,Processing,58,Male
ORD-00193,2024-06-27,The Lean Startup,Books,19.99,2,20,31.98,Australia,Social Media,Cancelled,59,Male
ORD-00194,2023-08-30,Mechanical Keyboard,Electronics,149.99,2,0,299.98,Germany,Paid Ads,Processing,27,Other
ORD-00195,2023-03-19,Webcam HD,Electronics,89.99,4,5,341.96,Brazil,Direct,Processing,59,Other
ORD-00196,2024-10-01,Protein Powder,Sports,54.99,3,0,164.97,Brazil,Organic,Shipped,46,Other
ORD-00197,2023-11-07,Dumbbells Set,Sports,79.99,5,0,399.95,Australia,Referral,Delivered,37,Female
ORD-00198,2024-04-07,Wireless Mouse,Electronics,29.99,1,0,29.99,France,Organic,Cancelled,23,Other
ORD-00199,2024-08-31,The Lean Startup,Books,19.99,4,5,75.96,USA,Email,Returned,54,Other
ORD-00200,2023-07-12,Protein Powder,Sports,54.99,5,5,261.2,Canada,Organic,Shipped,24,Female
ORD-00201,2023-03-28,The Lean Startup,Books,19.99,2,0,39.98,Germany,Direct,Shipped,46,Other
ORD-00202,2024-06-19,Coffee Maker,Kitchen,89.99,2,0,179.98,Australia,Social Media,Shipped,44,Female
ORD-00203,2024-11-26,Coffee Maker,Kitchen,89.99,1,20,71.99,Australia,Organic,Delivered,24,Other
ORD-00204,2024-11-25,Standing Desk,Furniture,549.99,3,0,1649.97,Canada,Social Media,Delivered,55,Other
ORD-00205,2023-05-25,Office Chair,Furniture,299.99,3,15,764.97,Japan,Paid Ads,Processing,63,Male
ORD-00206,2023-11-14,Atomic Habits,Books,16.99,4,15,57.77,Australia,Paid Ads,Cancelled,62,Other
ORD-00207,2024-12-02,The Lean Startup,Books,19.99,1,15,16.99,Japan,Referral,Delivered,19,Female
ORD-00208,2023-11-13,Webcam HD,Electronics,89.99,2,0,179.98,Brazil,Paid Ads,Delivered,26,Male
ORD-00209,2023-03-21,Water Bottle,Sports,24.99,1,10,22.49,USA,Direct,Delivered,57,Male
ORD-00210,2024-09-03,Standing Desk,Furniture,549.99,2,0,1099.98,Canada,Direct,Returned,57,Male
ORD-00211,2024-03-24,Wireless Mouse,Electronics,29.99,4,0,119.96,Germany,Email,Processing,36,Other
ORD-00212,2024-04-04,Yoga Mat,Sports,39.99,5,0,199.95,France,Email,Returned,30,Female
ORD-00213,2024-11-25,Deep Work,Books,18.99,4,5,72.16,France,Email,Processing,51,Female
ORD-00214,2023-06-15,Running Shoes,Sports,119.99,5,0,599.95,France,Organic,Cancelled,48,Female
ORD-00215,2024-07-21,Mechanical Keyboard,Electronics,149.99,5,20,599.96,UK,Social Media,Delivered,28,Female
ORD-00216,2024-04-05,The Lean Startup,Books,19.99,2,20,31.98,Japan,Organic,Delivered,46,Female
ORD-00217,2023-01-28,Bookshelf,Furniture,189.99,1,5,180.49,Australia,Paid Ads,Shipped,23,Female
ORD-00218,2023-08-18,Laptop Pro 15,Electronics,1299.99,3,0,3899.97,Australia,Paid Ads,Delivered,20,Female
ORD-00219,2024-04-28,Instant Pot,Kitchen,99.99,2,20,159.98,Brazil,Email,Processing,18,Male
ORD-00220,2023-01-20,Dumbbells Set,Sports,79.99,2,20,127.98,Canada,Referral,Cancelled,56,Other
ORD-00221,2024-03-09,Mechanical Keyboard,Electronics,149.99,3,0,449.97,France,Organic,Delivered,33,Female
ORD-00222,2024-10-16,Coffee Maker,Kitchen,89.99,4,0,359.96,UK,Email,Processing,52,Male
ORD-00223,2024-10-09,The Lean Startup,Books,19.99,5,0,99.95,Canada,Social Media,Shipped,18,Other
ORD-00224,2023-12-28,Yoga Mat,Sports,39.99,5,5,189.95,Canada,Direct,Cancelled,23,Other
ORD-00225,2024-01-05,USB-C Hub,Electronics,49.99,5,10,224.96,USA,Email,Returned,48,Male
ORD-00226,2024-10-12,Standing Desk,Furniture,549.99,3,0,1649.97,USA,Social Media,Returned,22,Female
ORD-00227,2023-09-04,Skincare Set,Beauty,59.99,1,20,47.99,Australia,Paid Ads,Delivered,40,Other
ORD-00228,2023-12-13,Air Fryer,Kitchen,129.99,2,20,207.98,Brazil,Direct,Shipped,58,Male
ORD-00229,2023-05-19,USB-C Hub,Electronics,49.99,4,0,199.96,France,Paid Ads,Delivered,30,Male
ORD-00230,2023-11-20,Water Bottle,Sports,24.99,5,5,118.7,Brazil,Social Media,Delivered,59,Male
ORD-00231,2023-10-20,Office Chair,Furniture,299.99,1,20,239.99,Australia,Social Media,Delivered,41,Female
ORD-00232,2024-02-14,Skincare Set,Beauty,59.99,4,5,227.96,Australia,Paid Ads,Shipped,62,Female
ORD-00233,2024-01-12,The Lean Startup,Books,19.99,3,20,47.98,UK,Direct,Shipped,23,Female
ORD-00234,2024-09-08,Webcam HD,Electronics,89.99,5,0,449.95,Australia,Organic,Delivered,38,Other
ORD-00235,2023-10-30,Water Bottle,Sports,24.99,4,10,89.96,Japan,Paid Ads,Cancelled,46,Female
ORD-00236,2024-04-02,Wireless Mouse,Electronics,29.99,3,10,80.97,Japan,Social Media,Cancelled,21,Male
ORD-00237,2024-11-18,Air Fryer,Kitchen,129.99,4,0,519.96,Canada,Organic,Delivered,56,Other
ORD-00238,2024-03-24,Wireless Mouse,Electronics,29.99,2,0,59.98,Germany,Direct,Delivered,41,Female
ORD-00239,2024-08-03,Wireless Mouse,Electronics,29.99,5,0,149.95,Brazil,Social Media,Delivered,46,Male
ORD-00240,2024-08-10,4K Monitor,Electronics,499.99,5,0,2499.95,Japan,Social Media,Cancelled,35,Male
ORD-00241,2023-04-27,Laptop Pro 15,Electronics,1299.99,2,5,2469.98,Japan,Referral,Delivered,34,Female
ORD-00242,2024-12-21,Desk Lamp,Furniture,44.99,2,10,80.98,France,Direct,Shipped,30,Male
ORD-00243,2023-05-19,USB-C Hub,Electronics,49.99,4,0,199.96,Brazil,Organic,Returned,61,Female
ORD-00244,2024-11-14,Office Chair,Furniture,299.99,1,10,269.99,France,Social Media,Returned,28,Other
ORD-00245,2024-12-27,Instant Pot,Kitchen,99.99,2,20,159.98,Australia,Referral,Delivered,25,Male
ORD-00246,2023-05-23,Yoga Mat,Sports,39.99,4,0,159.96,Australia,Referral,Processing,41,Female
ORD-00247,2024-07-18,4K Monitor,Electronics,499.99,5,0,2499.95,UK,Social Media,Shipped,63,Other
