campaign_id,date,platform,campaign_type,industry,region,budget_usd,impressions,clicks,conversions,revenue_usd,ctr_pct,cpc_usd,roas,cost_per_conversion
CMP-00042,2023-06-22,TikTok,Conversion,Finance,Middle East,28289.43,4490376,131568,9200,2419390.16,2.93,0.22,85.52,3.07
CMP-00043,2022-04-10,Google Ads,Brand Awareness,Finance,North America,16101.96,7509049,410744,10797,4892196.61,5.47,0.04,303.83,1.49
CMP-00044,2023-11-19,LinkedIn,Brand Awareness,Education,Middle East,15118.95,5693207,77427,3455,334711.67,1.36,0.2,22.14,4.38
CMP-00045,2022-11-09,LinkedIn,Lead Generation,Finance,North America,47205.67,2938458,65821,4933,2083536.36,2.24,0.72,44.14,9.57
CMP-00046,2023-01-24,Google Ads,Retargeting,Healthcare,Latin America,12625.38,1503022,15932,132,17104.9,1.06,0.79,1.35,95.65
CMP-00047,2022-12-18,LinkedIn,Brand Awareness,Travel,North America,21985.75,7604198,84406,8614,3201560.0,1.11,0.26,145.62,2.55
CMP-00048,2023-05-25,YouTube,Engagement,Finance,Middle East,45263.25,7616472,444801,43575,6903910.2,5.84,0.1,152.53,1.04
CMP-00049,2022-09-07,Facebook,Brand Awareness,Retail,Asia Pacific,16640.11,1599295,113070,8644,1246974.29,7.07,0.15,74.94,1.93
CMP-00050,2023-03-29,Email,Engagement,Tech,Middle East,37313.38,3169263,107121,9623,1565472.28,3.38,0.35,41.95,3.88
CMP-00051,2024-02-22,Email,Conversion,Food & Beverage,Asia Pacific,25727.86,4009209,228524,25388,11103771.6,5.7,0.11,431.59,1.01
CMP-00052,2022-10-21,YouTube,Lead Generation,Tech,Middle East,46301.47,11769690,491973,58817,4117574.4,4.18,0.09,88.93,0.79
CMP-00053,2022-01-21,Google Ads,Engagement,Tech,Europe,43191.33,5898539,419975,33863,10226797.42,7.12,0.1,236.78,1.28
CMP-00054,2022-01-21,Facebook,Retargeting,Retail,Europe,33554.45,16676141,100056,5444,2564821.51,0.6,0.34,76.44,6.16
CMP-00055,2022-10-21,Instagram,Lead Generation,Food & Beverage,Asia Pacific,49916.6,18346775,236673,24097,9237001.38,1.29,0.21,185.05,2.07
CMP-00056,2023-01-31,Facebook,Brand Awareness,Healthcare,Middle East,15542.5,6714253,399498,36588,13609884.66,5.95,0.04,875.66,0.42
CMP-00057,2022-02-05,Facebook,Retargeting,Finance,Latin America,6857.34,1240087,51215,5239,2279251.05,4.13,0.13,332.38,1.31
CMP-00058,2023-05-29,LinkedIn,Conversion,Healthcare,Middle East,13021.49,1731407,45362,1219,328990.03,2.62,0.29,25.27,10.68
CMP-00059,2024-04-01,TikTok,Engagement,Healthcare,Middle East,26044.28,3960234,148904,3220,97107.83,3.76,0.17,3.73,8.09
CMP-00060,2024-01-13,YouTube,Engagement,Food & Beverage,North America,1021.92,91758,3606,52,6328.31,3.93,0.28,6.19,19.65
CMP-00061,2022-04-01,TikTok,Retargeting,Retail,North America,7756.66,1287735,36442,3644,1268134.45,2.83,0.21,163.49,2.13
CMP-00062,2022-07-14,Facebook,Engagement,Tech,Asia Pacific,1744.53,744708,20330,884,44310.85,2.73,0.09,25.4,1.97
CMP-00063,2023-10-27,LinkedIn,Conversion,Education,Middle East,17797.45,3677811,30158,1278,586542.9,0.82,0.59,32.96,13.93
CMP-00064,2023-11-21,TikTok,Lead Generation,Food & Beverage,Middle East,30440.61,11362287,874896,65118,19012504.32,7.7,0.03,624.58,0.47
CMP-00065,2024-01-16,LinkedIn,Brand Awareness,Tech,Middle East,29877.76,3548538,133779,1719,309755.4,3.77,0.22,10.37,17.38
CMP-00066,2023-11-21,LinkedIn,Retargeting,Retail,Middle East,16780.78,8052471,456575,40439,6831153.77,5.67,0.04,407.08,0.41
CMP-00067,2023-11-15,Twitter,Conversion,Retail,Europe,2492.87,829947,33695,1829,522603.37,4.06,0.07,209.64,1.36
CMP-00068,2023-01-24,Twitter,Engagement,Travel,Latin America,13318.74,6170818,485026,22044,1315232.03,7.86,0.03,98.75,0.6
CMP-00069,2023-11-29,Facebook,Brand Awareness,Healthcare,Latin America,16013.94,2507813,35861,2918,484315.25,1.43,0.45,30.24,5.49
CMP-00070,2022-10-10,YouTube,Lead Generation,Retail,Europe,14714.2,5380831,342758,35501,1516725.64,6.37,0.04,103.08,0.41
CMP-00071,2023-06-05,LinkedIn,Lead Generation,Retail,Latin America,26419.7,2846774,78855,7128,523629.53,2.77,0.34,19.82,3.71
CMP-00072,2022-12-20,Google Ads,Conversion,Retail,Latin America,32735.87,8999234,248378,23506,11629567.7,2.76,0.13,355.25,1.39
CMP-00073,2022-05-10,Email,Brand Awareness,Healthcare,Middle East,47869.26,23183559,1727175,79203,29935541.11,7.45,0.03,625.36,0.6
CMP-00074,2022-02-11,Facebook,Brand Awareness,Food & Beverage,Europe,36353.53,17066929,662196,52294,20297574.4,3.88,0.05,558.34,0.7
CMP-00075,2023-05-24,Google Ads,Lead Generation,Travel,North America,30553.38,3667884,194397,5095,453586.07,5.3,0.16,14.85,6.0
CMP-00076,2024-05-31,Email,Retargeting,Food & Beverage,Middle East,1531.56,649931,43025,1707,552802.39,6.62,0.04,360.94,0.9
CMP-00077,2023-12-05,TikTok,Engagement,Finance,Asia Pacific,46941.54,12872179,195657,13890,4970381.75,1.52,0.24,105.88,3.38
CMP-00078,2022-06-03,Google Ads,Retargeting,Education,Asia Pacific,27045.41,3797211,137079,11352,1287889.15,3.61,0.2,47.62,2.38
CMP-00079,2022-09-18,Email,Brand Awareness,Finance,Latin America,36158.25,6042639,305153,18350,5352374.87,5.05,0.12,148.03,1.97
CMP-00080,2024-02-28,Google Ads,Retargeting,Retail,Europe,45261.24,20126861,1175408,8281,2305651.5,5.84,0.04,50.94,5.47
CMP-00081,2022-08-16,LinkedIn,Retargeting,Healthcare,Latin America,18244.41,2236903,55698,5291,173769.21,2.49,0.33,9.52,3.45
CMP-00082,2023-07-15,Email,Conversion,Healthcare,Latin America,31677.03,12011385,219808,15426,5470805.72,1.83,0.14,172.71,2.05
CMP-00083,2022-02-19,YouTube,Engagement,Travel,Middle East,8090.75,3889148,81283,1506,531908.96,2.09,0.1,65.74,5.37
CMP-00084,2022-12-05,YouTube,Engagement,Healthcare,Asia Pacific,48880.19,17930117,209782,24553,9493851.32,1.17,0.23,194.23,1.99
CMP-00085,2024-03-24,YouTube,Lead Generation,Retail,Latin America,47986.64,7367641,81780,968,54746.47,1.11,0.59,1.14,49.57
CMP-00086,2023-10-08,Email,Conversion,Retail,Asia Pacific,22166.51,6152110,471866,37762,18747785.09,7.67,0.05,845.77,0.59
CMP-00087,2023-03-15,YouTube,Retargeting,Healthcare,Europe,31337.28,3588791,171185,14461,1356889.36,4.77,0.18,43.3,2.17
CMP-00088,2023-05-11,Email,Conversion,Retail,Latin America,34488.18,9285440,461486,30740,9802548.55,4.97,0.07,284.23,1.12
CMP-00089,2024-03-08,Facebook,Conversion,Tech,Latin America,10041.61,2063054,12172,671,318656.14,0.59,0.82,31.73,14.97
CMP-00090,2024-04-28,Google Ads,Lead Generation,Retail,North America,46678.42,13840632,1057424,118415,58707563.84,7.64,0.04,1257.7,0.39
CMP-00091,2022-01-01,Facebook,Lead Generation,Education,Europe,7124.96,1063856,66703,488,176398.69,6.27,0.11,24.76,14.6
CMP-00092,2022-03-03,Google Ads,Lead Generation,Tech,Europe,11376.03,3657446,74977,4833,159648.46,2.05,0.15,14.03,2.35
CMP-00093,2023-04-18,LinkedIn,Conversion,Healthcare,Asia Pacific,17665.12,8038838,187304,1311,317753.72,2.33,0.09,17.99,13.47
CMP-00094,2022-06-21,Google Ads,Lead Generation,Food & Beverage,Latin America,45748.77,8100444,535439,25385,2982926.64,6.61,0.09,65.2,1.8
CMP-00095,2023-11-24,Email,Retargeting,Travel,Asia Pacific,39467.95,10500221,442059,26079,3907814.12,4.21,0.09,99.01,1.51
CMP-00096,2023-09-12,Facebook,Retargeting,Tech,North America,47625.04,17634619,1310252,110519,51432857.52,7.43,0.04,1079.95,0.43
CMP-00097,2022-01-04,Instagram,Retargeting,Healthcare,Asia Pacific,29684.42,10488984,807651,89277,40190566.08,7.7,0.04,1353.93,0.33
CMP-00098,2022-09-29,YouTube,Lead Generation,Education,Europe,33433.81,14237129,1097682,15431,5309480.37,7.71,0.03,158.81,2.17
CMP-00099,2022-03-15,Facebook,Lead Generation,Tech,Asia Pacific,19743.79,3837926,82899,2755,1167406.09,2.16,0.24,59.13,7.17
CMP-00100,2023-07-21,LinkedIn,Engagement,Finance,Europe,42181.64,2246451,68741,1850,289022.19,3.06,0.61,6.85,22.8
CMP-00101,2024-01-23,Instagram,Lead Generation,Travel,Middle East,39312.86,13817850,748927,17115,2968494.86,5.42,0.05,75.51,2.3
CMP-00102,2022-12-29,Email,Lead Generation,Tech,Europe,14736.62,3083968,75248,3102,441702.21,2.44,0.2,29.97,4.75
CMP-00103,2022-09-12,LinkedIn,Conversion,Tech,Middle East,4653.82,1405071,7165,523,63094.8,0.51,0.65,13.56,8.9
CMP-00104,2023-05-17,YouTube,Retargeting,Retail,Middle East,41987.72,18625998,419084,46902,19376313.11,2.25,0.1,461.48,0.9
CMP-00105,2023-04-10,LinkedIn,Conversion,Food & Beverage,Europe,22592.64,3434603,210884,13630,4988490.76,6.14,0.11,220.8,1.66
CMP-00106,2024-06-14,Twitter,Conversion,Food & Beverage,Europe,5472.17,2005865,15846,136,16729.76,0.79,0.35,3.06,40.24
CMP-00107,2024-06-01,YouTube,Brand Awareness,Tech,North America,8910.56,1443233,20493,264,10276.89,1.42,0.43,1.15,33.75
CMP-00108,2024-05-30,LinkedIn,Retargeting,Food & Beverage,Asia Pacific,9119.11,2037512,17318,444,54209.03,0.85,0.53,5.94,20.54
CMP-00109,2023-04-20,Twitter,Brand Awareness,Healthcare,Europe,34605.21,11998155,335948,3329,438487.21,2.8,0.1,12.67,10.4
CMP-00110,2022-07-25,Google Ads,Engagement,Education,Asia Pacific,37565.97,5857695,234307,8444,2450434.15,4.0,0.16,65.23,4.45
CMP-00111,2024-02-02,TikTok,Brand Awareness,Tech,Europe,24283.75,2516583,154769,4364,482172.76,6.15,0.16,19.86,5.56
CMP-00112,2023-03-13,Facebook,Engagement,Food & Beverage,Asia Pacific,4476.69,711612,48033,4481,1262717.92,6.75,0.09,282.07,1.0
CMP-00113,2023-11-25,Email,Engagement,Finance,Middle East,13908.64,4309075,103417,5765,1689292.17,2.4,0.13,121.46,2.41
CMP-00114,2024-02-06,Email,Engagement,Healthcare,Latin America,37659.6,15320211,775202,13567,1268804.27,5.06,0.05,33.69,2.78
CMP-00115,2024-06-08,Facebook,Lead Generation,Education,Europe,44240.65,12726238,563772,29996,10197671.72,4.43,0.08,230.5,1.47
CMP-00116,2024-03-29,Google Ads,Retargeting,Finance,Europe,33718.42,15011560,749076,9960,1224669.76,4.99,0.05,36.32,3.39
CMP-00117,2023-06-06,LinkedIn,Retargeting,Retail,Europe,31692.71,8463608,403714,23522,2566827.71,4.77,0.08,80.99,1.35
CMP-00118,2023-01-17,TikTok,Lead Generation,Travel,Asia Pacific,14263.47,4635991,229481,20454,5251586.72,4.95,0.06,368.18,0.7
CMP-00119,2023-08-10,Instagram,Conversion,Healthcare,Asia Pacific,23237.92,10189796,183416,20432,3534346.78,1.8,0.13,152.09,1.14
CMP-00120,2022-01-30,Email,Retargeting,Tech,Asia Pacific,1205.88,568562,34966,2675,422434.35,6.15,0.03,350.31,0.45
CMP-00121,2022-04-03,Instagram,Conversion,Food & Beverage,Middle East,42374.47,13668616,619188,16959,7105578.84,4.53,0.07,167.69,2.5
CMP-00122,2024-03-24,Facebook,Conversion,Tech,Middle East,44047.63,8247842,353832,39175,15478559.84,4.29,0.12,351.41,1.12
CMP-00123,2024-06-17,Email,Brand Awareness,Education,North America,23023.18,10071369,500547,16562,3017620.28,4.97,0.05,131.07,1.39
CMP-00124,2023-12-08,Google Ads,Brand Awareness,Food & Beverage,Europe,37456.06,13777016,994700,28851,3968147.26,7.22,0.04,105.94,1.3
CMP-00125,2023-05-04,Google Ads,Retargeting,Retail,Latin America,41036.92,10588005,256229,26375,1498776.62,2.42,0.16,36.52,1.56
CMP-00126,2022-07-31,Facebook,Brand Awareness,Finance,Europe,26876.84,9680459,154887,10910,4900933.02,1.6,0.17,182.35,2.46
CMP-00127,2024-04-09,Facebook,Brand Awareness,Tech,Asia Pacific,39351.05,4521816,302961,33868,2115082.55,6.7,0.13,53.75,1.16
CMP-00128,2022-09-10,LinkedIn,Conversion,Retail,Middle East,39781.49,7900704,295486,21493,3939552.64,3.74,0.13,99.03,1.85
CMP-00129,2022-06-24,Email,Lead Generation,Travel,Europe,7516.27,1945751,46503,2231,464941.65,2.39,0.16,61.86,3.37
CMP-00130,2022-03-19,Google Ads,Lead Generation,Finance,Middle East,34059.75,2032131,113392,6131,348527.47,5.58,0.3,10.23,5.56
CMP-00131,2022-08-12,Facebook,Conversion,Education,Latin America,24254.01,3259637,34878,2311,491200.0,1.07,0.7,20.25,10.5
CMP-00132,2022-05-24,TikTok,Retargeting,Finance,Asia Pacific,34992.49,10959355,524953,31556,12138559.01,4.79,0.07,346.89,1.11
CMP-00133,2023-02-27,YouTube,Lead Generation,Tech,Asia Pacific,27066.39,3727735,120405,4016,678702.58,3.23,0.22,25.08,6.74
CMP-00134,2023-01-14,YouTube,Lead Generation,Tech,North America,41276.62,20040227,871749,56784,25912223.96,4.35,0.05,627.77,0.73
CMP-00135,2022-11-22,LinkedIn,Conversion,Tech,North America,23894.6,2879470,76593,5965,1100061.63,2.66,0.31,46.04,4.01
CMP-00136,2022-07-17,LinkedIn,Engagement,Finance,Middle East,29207.09,11059201,82944,6117,434443.84,0.75,0.35,14.87,4.77
CMP-00137,2023-06-27,Instagram,Lead Generation,Retail,Latin America,16846.11,4427509,58443,7006,2186894.53,1.32,0.29,129.82,2.4
CMP-00138,2024-01-25,Instagram,Brand Awareness,Food & Beverage,Middle East,8140.13,1246344,27294,2951,1089471.66,2.19,0.3,133.84,2.76
CMP-00139,2023-10-18,Instagram,Brand Awareness,Healthcare,Asia Pacific,17690.52,7318912,246647,17299,7471918.86,3.37,0.07,422.37,1.02
CMP-00140,2022-04-09,Email,Brand Awareness,Travel,Asia Pacific,11725.2,4869162,140718,704,249156.15,2.89,0.08,21.25,16.66
CMP-00141,2023-03-19,Google Ads,Retargeting,Education,Latin America,39236.97,17711594,591567,63548,12992332.57,3.34,0.07,331.12,0.62
CMP-00142,2022-08-23,Facebook,Retargeting,Education,Europe,31036.96,3524486,46170,434,84854.64,1.31,0.67,2.73,71.51
CMP-00143,2022-02-07,Twitter,Retargeting,Healthcare,Europe,36439.57,5835792,52522,849,59056.04,0.9,0.69,1.62,42.92
CMP-00144,2024-06-04,YouTube,Engagement,Tech,Asia Pacific,25482.71,11633984,461869,10542,989923.71,3.97,0.06,38.85,2.42
CMP-00145,2023-01-05,Facebook,Retargeting,Education,Asia Pacific,44245.77,10771634,226204,22799,6996851.92,2.1,0.2,158.14,1.94
CMP-00146,2023-05-18,Instagram,Retargeting,Travel,Middle East,29491.03,13287999,835815,87107,7571815.07,6.29,0.04,256.75,0.34
CMP-00147,2022-01-15,Instagram,Engagement,Tech,North America,43865.66,8991174,347059,10394,3192975.58,3.86,0.13,72.79,4.22
CMP-00148,2024-02-03,YouTube,Conversion,Retail,Europe,25175.66,5074338,335921,19027,1667965.65,6.62,0.07,66.25,1.32
CMP-00149,2023-08-27,Google Ads,Retargeting,Finance,Asia Pacific,44286.66,8194291,486740,52883,16033489.13,5.94,0.09,362.04,0.84
CMP-00150,2022-03-14,Twitter,Engagement,Healthcare,Middle East,42334.0,5576842,326245,37400,4808330.88,5.85,0.13,113.58,1.13
CMP-00151,2023-08-22,Google Ads,Brand Awareness,Healthcare,North America,47817.47,12020159,700775,19027,2570731.48,5.83,0.07,53.76,2.51
CMP-00152,2023-03-07,TikTok,Engagement,Healthcare,Europe,44523.47,4370938,333065,1733,118809.63,7.62,0.13,2.67,25.69
CMP-00153,2023-09-16,Google Ads,Conversion,Retail,Europe,27252.82,13225591,880824,76795,11320618.69,6.66,0.03,415.39,0.35
CMP-00154,2023-03-29,YouTube,Lead Generation,Healthcare,Latin America,10554.44,1992580,78308,7668,1486506.3,3.93,0.13,140.84,1.38
CMP-00155,2024-05-23,TikTok,Conversion,Travel,Middle East,7386.05,1086280,64959,4502,1971219.15,5.98,0.11,266.88,1.64
CMP-00156,2022-09-28,Email,Engagement,Healthcare,Asia Pacific,42762.28,9029213,221215,8427,1431150.3,2.45,0.19,33.47,5.07
CMP-00157,2022-10-30,YouTube,Engagement,Retail,Latin America,43452.45,18879434,662668,33093,16331733.78,3.51,0.07,375.85,1.31
CMP-00158,2023-09-01,Email,Lead Generation,Tech,North America,28329.94,8857664,498686,37298,1723445.67,5.63,0.06,60.83,0.76
CMP-00159,2022-03-01,Twitter,Conversion,Education,Europe,29859.59,4737081,115584,13752,4171381.58,2.44,0.26,139.7,2.17
CMP-00160,2023-02-07,Facebook,Brand Awareness,Tech,Latin America,9034.11,4068214,189578,15276,499442.03,4.66,0.05,55.28,0.59
CMP-00161,2023-07-22,TikTok,Retargeting,Retail,Asia Pacific,9683.69,3789948,292583,13811,2136824.2,7.72,0.03,220.66,0.7
CMP-00162,2022-03-08,TikTok,Engagement,Healthcare,Asia Pacific,20572.42,9161334,646790,17314,2870332.71,7.06,0.03,139.52,1.19
CMP-00163,2022-10-04,Facebook,Engagement,Finance,North America,17114.21,868030,59460,6296,2649699.99,6.85,0.29,154.82,2.72
CMP-00164,2022-05-23,Instagram,Conversion,Finance,Asia Pacific,3755.24,500779,20231,847,268035.63,4.04,0.19,71.38,4.43
CMP-00165,2023-03-24,TikTok,Engagement,Finance,Asia Pacific,6333.69,660091,35974,819,353631.05,5.45,0.18,55.83,7.73
CMP-00166,2022-10-29,Instagram,Conversion,Education,Latin America,6305.82,2008270,56633,283,17448.12,2.82,0.11,2.77,22.28
CMP-00167,2022-01-07,Google Ads,Conversion,Finance,Asia Pacific,29993.61,10383101,148478,11544,2731920.22,1.43,0.2,91.08,2.6
CMP-00168,2022-05-08,YouTube,Conversion,Retail,Europe,33672.93,13622489,69474,2427,1212078.45,0.51,0.48,36.0,13.87
CMP-00169,2022-02-19,YouTube,Lead Generation,Tech,Latin America,28913.54,5645458,321226,9959,1964759.55,5.69,0.09,67.95,2.9
CMP-00170,2023-06-08,LinkedIn,Engagement,Tech,Middle East,13148.61,757371,22872,1875,372076.28,3.02,0.57,28.3,7.01
CMP-00171,2023-09-12,Google Ads,Conversion,Finance,Middle East,34030.93,4479624,55099,616,96435.61,1.23,0.62,2.83,55.25
CMP-00172,2022-06-22,Facebook,Conversion,Finance,Europe,49234.39,10207272,301114,7349,1078156.21,2.95,0.16,21.9,6.7
CMP-00173,2023-12-14,YouTube,Brand Awareness,Tech,Middle East,46509.8,13889755,188900,12456,2213718.15,1.36,0.25,47.6,3.73
CMP-00174,2023-09-04,Google Ads,Brand Awareness,Retail,Asia Pacific,15441.77,1976982,65438,1087,386012.57,3.31,0.24,25.0,14.21
CMP-00175,2023-01-20,LinkedIn,Lead Generation,Travel,Middle East,10290.39,1809179,109817,6930,253540.82,6.07,0.09,24.64,1.48
CMP-00176,2023-07-27,Instagram,Conversion,Healthcare,Asia Pacific,1824.0,549667,40510,2699,581602.05,7.37,0.05,318.86,0.68
CMP-00177,2022-07-13,Facebook,Lead Generation,Healthcare,Latin America,26607.42,7532324,425576,14055,3075769.09,5.65,0.06,115.6,1.89
CMP-00178,2022-01-06,Facebook,Retargeting,Retail,Europe,30238.22,9742143,398453,25252,12046506.08,4.09,0.08,398.39,1.2
CMP-00179,2022-01-20,LinkedIn,Lead Generation,Travel,North America,6147.11,812032,34998,206,94059.24,4.31,0.18,15.3,29.84
CMP-00180,2024-01-17,TikTok,Retargeting,Finance,Europe,23097.54,1727197,92750,2419,179712.84,5.37,0.25,7.78,9.55
CMP-00181,2023-12-29,TikTok,Conversion,Healthcare,Europe,32295.75,6920576,251216,25117,8888781.91,3.63,0.13,275.23,1.29
CMP-00182,2024-05-07,Instagram,Brand Awareness,Travel,Asia Pacific,24733.15,9933208,702277,73883,5580773.7,7.07,0.04,225.64,0.33
CMP-00183,2022-09-05,LinkedIn,Brand Awareness,Education,Europe,20196.52,7744185,86734,8895,2486623.27,1.12,0.23,123.12,2.27
CMP-00184,2022-05-28,Facebook,Lead Generation,Travel,Middle East,40924.9,19370792,199519,9612,2840597.75,1.03,0.21,69.41,4.26
CMP-00185,2022-12-31,Email,Brand Awareness,Tech,Europe,16767.06,1010093,38888,1724,642775.23,3.85,0.43,38.34,9.73
CMP-00186,2023-03-03,TikTok,Conversion,Finance,Latin America,5995.54,2571646,26230,353,132402.31,1.02,0.23,22.08,16.98
CMP-00187,2023-09-06,Instagram,Retargeting,Travel,Asia Pacific,30792.57,12042649,370913,41403,2422243.07,3.08,0.08,78.66,0.74
CMP-00188,2022-03-20,Instagram,Engagement,Retail,Europe,1085.33,185405,9270,752,80699.81,5.0,0.12,74.36,1.44
CMP-00189,2023-11-01,Email,Engagement,Retail,Asia Pacific,35097.63,12197280,325667,4394,1803331.87,2.67,0.11,51.38,7.99
CMP-00190,2022-08-07,Email,Conversion,Food & Beverage,Middle East,40796.44,12808490,924772,38225,12666551.51,7.22,0.04,310.48,1.07
CMP-00191,2024-01-07,YouTube,Conversion,Tech,Asia Pacific,41368.23,19744032,1145153,105932,26056139.42,5.8,0.04,629.86,0.39
CMP-00192,2022-09-29,YouTube,Retargeting,Tech,Europe,40229.29,18330180,944004,48145,4506234.62,5.15,0.04,112.01,0.84
CMP-00193,2022-07-23,YouTube,Conversion,Tech,Asia Pacific,22043.44,9970973,785712,79149,22400801.57,7.88,0.03,1016.21,0.28
